cep,uf,cidade,latitude,longitude
69077738,AM,Manaus,-3.1068805,-59.967664
69057060,AM,Manaus,-3.1025332,-60.0063476
69020040,AM,Manaus,-3.1290397,-60.0154887
69053138,AM,Manaus,-3.1123158,-60.0133524
69053140,AM,Manaus,-3.1068015,-60.0236201
69085000,AM,Manaus,-3.0607187,-59.9496382
69010425,AM,Manaus,-3.1283232,-60.009853
69050970,AM,Manaus,-3.0934967,-60.0240974
69050000,AM,Manaus,-3.1251325,-60.0267682
69040270,AM,Manaus,-3.0968788,-60.0463883
69058330,AM,Manaus,-3.0659248,-60.0136466
69088181,AM,Manaus,-3.0351482,-59.9333413
69088480,AM,Manaus,-3.0351482,-59.9333413
69097235,AM,Manaus,-3.0079837,-59.9816419
69050055,AM,Manaus,-3.0904515,-60.0383093
69053020,AM,Manaus,-3.1050337,-60.0223741
69010420,AM,Manaus,-3.1324622,-60.024117
69095000,AM,Manaus,-3.0320752,-59.9851157
69057240,AM,Manaus,-3.0960804,-60.0156551
69053358,AM,Manaus,-3.1068015,-60.0236201
69048990,AM,Manaus,-2.9671091,-60.0197689
69053257,AM,Manaus,-3.0934967,-60.0240974
69010110,AM,Manaus,-3.1288897,-60.024927
69042470,AM,Manaus,-3.0839887,-60.0485871
69055420,AM,Manaus,-3.0812332,-60.0114525
69057002,AM,Manaus,-3.0890176,-60.0172734
69053030,AM,Manaus,-3.0998061,-60.0200252
69087215,AM,Manaus,-3.0607187,-59.9496382
69010070,AM,Manaus,-3.1306342,-60.0258354
69020030,AM,Manaus,-3.1378546,-60.0204592
69060020,AM,Manaus,-3.0895998,-60.0091061
69028220,AM,Manaus,-3.0510987,-60.0057809
69067110,AM,Manaus,-3.0307443,-60.0930072
69040330,AM,Manaus,-2.9927128,-60.0097749
69029040,AM,Manaus,-3.1127045,-60.0385084
69096060,AM,Manaus,-3.0314114,-59.9721612
69053000,AM,Manaus,-3.0934967,-60.0240974
69065280,AM,Manaus,-3.1279462,-60.0063246
69020405,AM,Manaus,-3.1188528,-60.0167011
69079260,AM,Manaus,-3.1115578,-60.0056632
69019410,AM,Manaus,-2.9389853,-60.0338319
69049090,AM,Manaus,-3.0557556,-60.0255557
69027034,AM,Manaus,-3.1471066,-60.0001196
69065100,AM,Manaus,-3.1273159,-60.0030597
69093415,AM,Manaus,-3.0061684,-60.032758
69068130,AM,Manaus,-3.1270864,-59.9972639
69040000,AM,Manaus,-3.0857854,-60.0336599
69020120,AM,Manaus,-3.1347364,-60.0083489
69025005,AM,Manaus,-3.1174546,-60.0175686
69065030,AM,Manaus,-3.1253033,-60.0047219
69010100,AM,Manaus,-3.1320645,-60.0278661
69060085,AM,Manaus,-3.0911604,-59.9992502
69020015,AM,Manaus,-3.1245303,-60.0187198
69053100,AM,Manaus,-3.0634377,-59.9656039
69025315,AM,Manaus,-3.1251325,-60.0267682
69001009,,,,
69073177,AM,Manaus,-3.0941855,-59.9872478
69025040,AM,Manaus,-3.123255,-60.0149366
69007002,AM,Manaus,-3.0837501,-59.9185032
69080271,AM,Manaus,-3.0898506,-59.9840539
69041025,AM,Manaus,-3.0061684,-60.032758
69053540,AM,Manaus,-3.0934967,-60.0240974
69057603,AM,Manaus,-3.1011636,-60.0104738
69053400,AM,Manaus,-3.114041,-60.0217994
69057250,AM,Manaus,-3.0270808,-59.9357717
69050605,AM,Manaus,-3.1251325,-60.0267682
69085020,AM,Manaus,-3.0719089,-59.9508904
69055240,AM,Manaus,-3.0291668,-59.9397053
69094130,AM,Manaus,-3.0415466,-59.9826635
69036725,AM,Manaus,-3.0854046,-60.0730793
69054650,AM,Manaus,-3.074819,-60.0036411
69077292,AM,Manaus,-3.1133992,-59.9832076
69046020,AM,Manaus,-3.0629998,-60.0393111
69048120,AM,Manaus,-3.054359,-60.0321502
69077778,AM,Manaus,-3.0539001,-59.9493381
69008110,AM,Manaus,-3.1326645,-60.0205917
69030500,AM,Manaus,-3.1054589,-60.0556558
69042010,AM,Manaus,-3.0786407,-60.0412163
69070100,AM,Manaus,-3.1433784,-60.0135738
69010030,AM,Manaus,-0.9718255,-62.9292981
69090388,AM,Manaus,-3.0371199,-59.9998377
69089130,AM,Manaus,-3.0908746,-59.9443101
69045040,AM,Manaus,-3.0710944,-60.0526623
69047428,AM,Manaus,-3.1047861,-59.9845211
69083000,AM,Manaus,-3.09585,-59.9062674
69097720,AM,Manaus,-3.0294622,-59.9625329
69070620,AM,Manaus,-3.1479769,-60.0004875
69053180,AM,Manaus,-3.106887,-60.0198562
69036110,AM,Manaus,-3.1127045,-60.0385084
69040010,AM,Manaus,-3.0836463,-60.0438891
69079015,AM,Manaus,-3.10726,-60.0513145
69096000,AM,Manaus,-3.0320752,-59.9851157
69035366,AM,Manaus,-3.1044507,-60.0649929
69073150,AM,Manaus,-3.0081606,-60.0143852
69073169,AM,Manaus,-3.1384942,-59.9869637
69078480,AM,Manaus,-3.1166529,-59.9888021
69039540,AM,Manaus,-3.0272529,-60.0079115
69036100,AM,Manaus,-3.1012981,-60.0568345
69086010,AM,Manaus,-3.0615531,-59.9511953
69065150,AM,Manaus,-3.12187,-60.023855
69073060,AM,Manaus,-3.132915,-59.9964857
69009300,AM,Manaus,-3.0636551,-59.873952
69043600,AM,Manaus,-3.1120481,-60.0575519
69027615,AM,Manaus,-3.1210493,-60.0370707
69049100,AM,Manaus,-3.056901,-60.0332054
69074000,AM,Manaus,-3.147864,-59.9895895
69074725,AM,Manaus,-3.1393052,-60.0039109
69063010,AM,Manaus,-3.111277,-59.9951387
69054501,AM,Manaus,-3.0753282,-60.0140167
69093000,AM,Manaus,-3.0356843,-60.0012749
69057001,AM,Manaus,-3.0890176,-60.0172734
69088000,AM,Manaus,-3.0351482,-59.9333413
69075771,AM,Manaus,-3.1236743,-59.9426436
69070730,AM,Manaus,-3.1404233,-60.0145917
69084120,AM,Manaus,-3.0071385,-60.0091319
69088058,AM,Manaus,-3.0267997,-59.9225372
69059500,AM,Manaus,-2.990228,-60.0143196
69033410,AM,Manaus,-3.1107568,-60.0333092
69084425,AM,Manaus,-3.09585,-59.9062674
69020170,AM,Manaus,-2.9918568,-60.0711212
69036630,AM,Manaus,-3.0992654,-60.0533893
69079440,AM,Manaus,-3.1124768,-60.004842
69095285,AM,Manaus,-3.0251577,-59.9722466
69096145,AM,Manaus,-3.0315264,-59.9698474
69095619,AM,Manaus,-3.0320752,-59.9851157
69028120,AM,Manaus,-3.0446434,-59.9951501
69095415,AM,Manaus,-3.0320752,-59.9851157
69093240,AM,Manaus,-3.0356843,-60.0012749
69093751,AM,Manaus,-3.0356843,-60.0012749
69093099,AM,Manaus,-3.0356843,-60.0012749
69093513,AM,Manaus,-3.0202705,-59.9920705
69093115,AM,Manaus,-2.9995788,-59.9980429
69093833,AM,Manaus,-3.0109563,-59.994019
69059260,AM,Manaus,-2.9885948,-60.0153128
69023000,AM,Manaus,-2.9763567,-60.0256045
69053060,AM,Manaus,-3.1133084,-60.0285169
69093437,AM,Manaus,-3.0210849,-60.0081635
69093161,AM,Manaus,-3.0359824,-60.0123171
69097780,AM,Manaus,-3.0158908,-59.9676178
69090795,AM,Manaus,-3.0320752,-59.9851157
69097242,AM,Manaus,-3.013126,-59.9794806
69028326,AM,Manaus,-3.057793,-60.018014
69005015,AM,Manaus,-3.1381188,-60.016216
69068070,AM,Manaus,-3.1176148,-59.9835439
69073480,AM,Manaus,-3.1284974,-59.9863223
69065140,AM,Manaus,-3.1279346,-60.0090507
69079250,AM,Manaus,-3.1092101,-60.0039175
69060010,AM,Manaus,-3.0985434,-59.9981136
69060050,AM,Manaus,-3.1050842,-60.0058967
69025350,AM,Manaus,-3.1177184,-60.030675
69010430,AM,Manaus,-3.130519,-60.0307118
69020150,AM,Manaus,-3.1323379,-59.9896732
69020245,AM,Manaus,-3.1290397,-60.0154887
69070490,AM,Manaus,-3.1390161,-60.0091508
69070410,AM,Manaus,-3.1430951,-60.0082599
69078412,AM,Manaus,-3.1176148,-59.9835439
69067475,AM,Manaus,-3.0558906,-60.0433417
69067470,AM,Manaus,-3.1060919,-59.9966812
69035550,AM,Manaus,-3.1067328,-60.0621359
69099562,AM,Manaus,-3.0124571,-59.9566169
69037000,AM,Manaus,-3.0854046,-60.0730793
69087689,AM,Manaus,-3.0609235,-59.9331235
69086650,AM,Manaus,-3.0634662,-59.9555712
69099107,AM,Manaus,-3.0452708,-59.9448912
69095440,AM,Manaus,-3.0261653,-59.9827058
69027540,AM,Manaus,-3.0931342,-60.0683666
69084621,AM,Manaus,-3.0822572,-59.9401092
69009085,AM,Manaus,-3.0271126,-59.9727161
69080710,AM,Manaus,-3.0924943,-59.9842737
69080215,AM,Manaus,-3.054239,-60.057218
69080300,AM,Manaus,-3.0937703,-59.9841531
69082370,AM,Manaus,-3.0876937,-59.9785365
69085288,AM,Manaus,-3.0688398,-59.9677188
69098225,AM,Manaus,-3.0507983,-59.951624
69099260,AM,Manaus,-3.0409089,-59.9539063
69099312,AM,Manaus,-3.018968,-59.9437361
69099297,AM,Manaus,-3.0452708,-59.9448912
69093280,AM,Manaus,-3.0281652,-60.0031828
69082645,AM,Manaus,-3.0028199,-60.0373119
69075721,AM,Manaus,-3.0457286,-59.933168
69086485,AM,Manaus,-3.0706261,-59.9262415
69088716,AM,Manaus,-3.0521737,-59.9212608
69099265,AM,Manaus,-3.0452708,-59.9448912
69099445,AM,Manaus,-3.0157218,-59.9524765
69099181,AM,Manaus,-3.0452708,-59.9448912
69099009,AM,Manaus,-3.0282438,-59.9527566
69099015,AM,Manaus,-3.0439794,-59.9447303
69087082,,,,
69098298,AM,Manaus,-3.0564775,-59.9606917
69088301,AM,Manaus,-3.1178145,-60.0041011
69087032,AM,Manaus,-3.0580814,-59.9431926
69087500,,,,
69084050,AM,Manaus,-3.0071385,-60.0091319
